X_i, allowed Y_i
-32394, "[-374; 32767]"
-32393, "[-375; 32767]"
-32392, "[-376; 32767]"
-32391, "[-377; 32767]"
-32390, "[-378; 32767]"
-32389, "[-379; 32767]"
-32388, "[-380; 32767]"
-32387, "[-381; 32767]"
-32386, "[-382; 32767]"
-32385, "[-383; 32767]"
-32384, "[-384; 32767]"
-32383, "[-385; 32767]"
-32382, "[-386; 32767]"
-32381, "[-387; 32767]"
-32380, "[-388; 32767]"
-32379, "[-389; 32767]"
-32378, "[-390; 32767]"
-32377, "[-391; 32767]"
-32376, "[-392; 32767]"
-32375, "[-393; 32767]"
-32374, "[-394; 32767]"
-32373, "[-395; 32767]"
-32372, "[-396; 32767]"
-32371, "[-397; 32767]"
-32370, "[-398; 32767]"
-32369, "[-399; 32767]"
-32368, "[-400; 32767]"
-32367, "[-401; 32767]"
-32366, "[-402; 32767]"
-32365, "[-403; 32767]"
-32364, "[-404; 32767]"
-32363, "[-405; 32767]"
-32362, "[-406; 32767]"
-32361, "[-407; 32767]"
-32360, "[-408; 32767]"
-32359, "[-409; 32767]"
-32358, "[-410; 32767]"
-32357, "[-411; 32767]"
-32356, "[-412; 32767]"
-32355, "[-413; 32767]"
-32354, "[-414; 32767]"
-32353, "[-415; 32767]"
-32352, "[-416; 32767]"
-32351, "[-417; 32767]"
-32350, "[-418; 32767]"
-32349, "[-419; 32767]"
-32348, "[-420; 32767]"
-32347, "[-421; 32767]"
-32346, "[-422; 32767]"
-32345, "[-423; 32767]"
-32344, "[-424; 32767]"
-32343, "[-425; 32767]"
-32342, "[-426; 32767]"
-32341, "[-427; 32767]"
-32340, "[-428; 32767]"
-32339, "[-429; 32767]"
-32338, "[-430; 32767]"
-32337, "[-431; 32767]"
-32336, "[-432; 32767]"
-32335, "[-433; 32767]"
-32334, "[-434; 32767]"
-32333, "[-435; 32767]"
-32332, "[-436; 32767]"
-32331, "[-437; 32767]"
-32330, "[-438; 32767]"
-32329, "[-439; 32767]"
-32328, "[-440; 32767]"
-32327, "[-441; 32767]"
-32326, "[-442; 32767]"
-32325, "[-443; 32767]"
-32324, "[-444; 32767]"
-32323, "[-445; 32767]"
-32322, "[-446; 32767]"
-32321, "[-447; 32767]"
-32320, "[-448; 32767]"
-32319, "[-449; 32767]"
-32318, "[-450; 32767]"
-32317, "[-451; 32767]"
-32316, "[-452; 32767]"
-32315, "[-453; 32767]"
-32314, "[-454; 32767]"
-32313, "[-455; 32767]"
-32312, "[-456; 32767]"
-32311, "[-457; 32767]"
-32310, "[-458; 32767]"
-32309, "[-459; 32767]"
-32308, "[-460; 32767]"
-32307, "[-461; 32767]"
-32306, "[-462; 32767]"
-32305, "[-463; 32767]"
-32304, "[-464; 32767]"
-32303, "[-465; 32767]"
-32302, "[-466; 32767]"
-32301, "[-467; 32767]"
-32300, "[-468; 32767]"
-32299, "[-469; 32767]"
-32298, "[-470; 32767]"
-32297, "[-471; 32767]"
-32296, "[-472; 32767]"
-32295, "[-473; 32767]"
-32294, "[-474; 32767]"
-32293, "[-475; 32767]"
-32292, "[-476; 32767]"
-32291, "[-477; 32767]"
-32290, "[-478; 32767]"
-32289, "[-479; 32767]"
-32288, "[-480; 32767]"
-32287, "[-481; 32767]"
-32286, "[-482; 32767]"
-32285, "[-483; 32767]"
-32284, "[-484; 32767]"
-32283, "[-485; 32767]"
-32282, "[-486; 32767]"
-32281, "[-487; 32767]"
-32280, "[-488; 32767]"
-32279, "[-489; 32767]"
-32278, "[-490; 32767]"
-32277, "[-491; 32767]"
-32276, "[-492; 32767]"
-32275, "[-493; 32767]"
-32274, "[-494; 32767]"
-32273, "[-495; 32767]"
-32272, "[-496; 32767]"
-32271, "[-497; 32767]"
-32270, "[-498; 32767]"
-32269, "[-499; 32767]"
-32268, "[-500; 32767]"
-32267, "[-501; 32767]"
-32266, "[-502; 32767]"
-32265, "[-503; 32767]"
-32264, "[-504; 32767]"
-32263, "[-505; 32767]"
-32262, "[-506; 32767]"
-32261, "[-507; 32767]"
-32260, "[-508; 32767]"
-32259, "[-509; 32767]"
-32258, "[-510; 32767]"
-32257, "[-511; 32767]"
-32256, "[-512; 32767]"
-32255, "[-513; 32767]"
-32254, "[-514; 32767]"
-32253, "[-515; 32767]"
-32252, "[-516; 32767]"
-32251, "[-517; 32767]"
-32250, "[-518; 32767]"
-32249, "[-519; 32767]"
-32248, "[-520; 32767]"
-32247, "[-521; 32767]"
-32246, "[-522; 32767]"
-32245, "[-523; 32767]"
-32244, "[-524; 32767]"
-32243, "[-525; 32767]"
-32242, "[-526; 32767]"
-32241, "[-527; 32767]"
-32240, "[-528; 32767]"
-32239, "[-529; 32767]"
-32238, "[-530; 32767]"
-32237, "[-531; 32767]"
-32236, "[-532; 32767]"
-32235, "[-533; 32767]"
-32234, "[-534; 32767]"
-32233, "[-535; 32767]"
-32232, "[-536; 32767]"
-32231, "[-537; 32767]"
-32230, "[-538; 32767]"
-32229, "[-539; 32767]"
-32228, "[-540; 32767]"
-32227, "[-541; 32767]"
-32226, "[-542; 32767]"
-32225, "[-543; 32767]"
-32224, "[-544; 32767]"
-32223, "[-545; 32767]"
-32222, "[-546; 32767]"
-32221, "[-547; 32767]"
-32220, "[-548; 32767]"
-32219, "[-549; 32767]"
-32218, "[-550; 32767]"
-32217, "[-551; 32767]"
-32216, "[-552; 32767]"
-32215, "[-553; 32767]"
-32214, "[-554; 32767]"
-32213, "[-555; 32767]"
-32212, "[-556; 32767]"
-32211, "[-557; 32767]"
-32210, "[-558; 32767]"
