X_i, allowed Y_i
-3234, "[-29534; 32767]"
-3233, "[-29535; 32767]"
-3232, "[-29536; 32767]"
-3231, "[-29537; 32767]"
-3230, "[-29538; 32767]"
-3229, "[-29539; 32767]"
-3228, "[-29540; 32767]"
-3227, "[-29541; 32767]"
-3226, "[-29542; 32767]"
-3225, "[-29543; 32767]"
-3224, "[-29544; 32767]"
-3223, "[-29545; 32767]"
-3222, "[-29546; 32767]"
-3221, "[-29547; 32767]"
-3220, "[-29548; 32767]"
-3219, "[-29549; 32767]"
-3218, "[-29550; 32767]"
-3217, "[-29551; 32767]"
-3216, "[-29552; 32767]"
-3215, "[-29553; 32767]"
-3214, "[-29554; 32767]"
-3213, "[-29555; 32767]"
-3212, "[-29556; 32767]"
-3211, "[-29557; 32767]"
-3210, "[-29558; 32767]"
-3209, "[-29559; 32767]"
-3208, "[-29560; 32767]"
-3207, "[-29561; 32767]"
-3206, "[-29562; 32767]"
-3205, "[-29563; 32767]"
-3204, "[-29564; 32767]"
-3203, "[-29565; 32767]"
-3202, "[-29566; 32767]"
-3201, "[-29567; 32767]"
-3200, "[-29568; 32767]"
-3199, "[-29569; 32767]"
-3198, "[-29570; 32767]"
-3197, "[-29571; 32767]"
-3196, "[-29572; 32767]"
-3195, "[-29573; 32767]"
-3194, "[-29574; 32767]"
-3193, "[-29575; 32767]"
-3192, "[-29576; 32767]"
-3191, "[-29577; 32767]"
-3190, "[-29578; 32767]"
-3189, "[-29579; 32767]"
-3188, "[-29580; 32767]"
-3187, "[-29581; 32767]"
-3186, "[-29582; 32767]"
-3185, "[-29583; 32767]"
-3184, "[-29584; 32767]"
-3183, "[-29585; 32767]"
-3182, "[-29586; 32767]"
-3181, "[-29587; 32767]"
-3180, "[-29588; 32767]"
-3179, "[-29589; 32767]"
-3178, "[-29590; 32767]"
-3177, "[-29591; 32767]"
-3176, "[-29592; 32767]"
-3175, "[-29593; 32767]"
-3174, "[-29594; 32767]"
-3173, "[-29595; 32767]"
-3172, "[-29596; 32767]"
-3171, "[-29597; 32767]"
-3170, "[-29598; 32767]"
-3169, "[-29599; 32767]"
-3168, "[-29600; 32767]"
-3167, "[-29601; 32767]"
-3166, "[-29602; 32767]"
-3165, "[-29603; 32767]"
-3164, "[-29604; 32767]"
-3163, "[-29605; 32767]"
-3162, "[-29606; 32767]"
-3161, "[-29607; 32767]"
-3160, "[-29608; 32767]"
-3159, "[-29609; 32767]"
-3158, "[-29610; 32767]"
-3157, "[-29611; 32767]"
-3156, "[-29612; 32767]"
-3155, "[-29613; 32767]"
-3154, "[-29614; 32767]"
-3153, "[-29615; 32767]"
-3152, "[-29616; 32767]"
-3151, "[-29617; 32767]"
-3150, "[-29618; 32767]"
-3149, "[-29619; 32767]"
-3148, "[-29620; 32767]"
-3147, "[-29621; 32767]"
-3146, "[-29622; 32767]"
-3145, "[-29623; 32767]"
-3144, "[-29624; 32767]"
-3143, "[-29625; 32767]"
-3142, "[-29626; 32767]"
-3141, "[-29627; 32767]"
-3140, "[-29628; 32767]"
-3139, "[-29629; 32767]"
-3138, "[-29630; 32767]"
-3137, "[-29631; 32767]"
-3136, "[-29632; 32767]"
-3135, "[-29633; 32767]"
-3134, "[-29634; 32767]"
-3133, "[-29635; 32767]"
-3132, "[-29636; 32767]"
-3131, "[-29637; 32767]"
-3130, "[-29638; 32767]"
-3129, "[-29639; 32767]"
-3128, "[-29640; 32767]"
-3127, "[-29641; 32767]"
-3126, "[-29642; 32767]"
-3125, "[-29643; 32767]"
-3124, "[-29644; 32767]"
-3123, "[-29645; 32767]"
-3122, "[-29646; 32767]"
-3121, "[-29647; 32767]"
-3120, "[-29648; 32767]"
-3119, "[-29649; 32767]"
-3118, "[-29650; 32767]"
-3117, "[-29651; 32767]"
-3116, "[-29652; 32767]"
-3115, "[-29653; 32767]"
-3114, "[-29654; 32767]"
-3113, "[-29655; 32767]"
-3112, "[-29656; 32767]"
-3111, "[-29657; 32767]"
-3110, "[-29658; 32767]"
-3109, "[-29659; 32767]"
-3108, "[-29660; 32767]"
-3107, "[-29661; 32767]"
-3106, "[-29662; 32767]"
-3105, "[-29663; 32767]"
-3104, "[-29664; 32767]"
-3103, "[-29665; 32767]"
-3102, "[-29666; 32767]"
-3101, "[-29667; 32767]"
-3100, "[-29668; 32767]"
-3099, "[-29669; 32767]"
-3098, "[-29670; 32767]"
-3097, "[-29671; 32767]"
-3096, "[-29672; 32767]"
-3095, "[-29673; 32767]"
-3094, "[-29674; 32767]"
-3093, "[-29675; 32767]"
-3092, "[-29676; 32767]"
-3091, "[-29677; 32767]"
-3090, "[-29678; 32767]"
-3089, "[-29679; 32767]"
-3088, "[-29680; 32767]"
-3087, "[-29681; 32767]"
-3086, "[-29682; 32767]"
-3085, "[-29683; 32767]"
-3084, "[-29684; 32767]"
-3083, "[-29685; 32767]"
-3082, "[-29686; 32767]"
-3081, "[-29687; 32767]"
-3080, "[-29688; 32767]"
-3079, "[-29689; 32767]"
-3078, "[-29690; 32767]"
-3077, "[-29691; 32767]"
-3076, "[-29692; 32767]"
-3075, "[-29693; 32767]"
-3074, "[-29694; 32767]"
-3073, "[-29695; 32767]"
-3072, "[-29696; 32767]"
-3071, "[-29697; 32767]"
-3070, "[-29698; 32767]"
-3069, "[-29699; 32767]"
-3068, "[-29700; 32767]"
-3067, "[-29701; 32767]"
-3066, "[-29702; 32767]"
-3065, "[-29703; 32767]"
-3064, "[-29704; 32767]"
-3063, "[-29705; 32767]"
-3062, "[-29706; 32767]"
-3061, "[-29707; 32767]"
-3060, "[-29708; 32767]"
-3059, "[-29709; 32767]"
-3058, "[-29710; 32767]"
-3057, "[-29711; 32767]"
-3056, "[-29712; 32767]"
-3055, "[-29713; 32767]"
-3054, "[-29714; 32767]"
-3053, "[-29715; 32767]"
-3052, "[-29716; 32767]"
-3051, "[-29717; 32767]"
-3050, "[-29718; 32767]"
-3049, "[-29719; 32767]"
-3048, "[-29720; 32767]"
-3047, "[-29721; 32767]"
-3046, "[-29722; 32767]"
-3045, "[-29723; 32767]"
-3044, "[-29724; 32767]"
-3043, "[-29725; 32767]"
-3042, "[-29726; 32767]"
-3041, "[-29727; 32767]"
-3040, "[-29728; 32767]"
-3039, "[-29729; 32767]"
-3038, "[-29730; 32767]"
-3037, "[-29731; 32767]"
-3036, "[-29732; 32767]"
-3035, "[-29733; 32767]"
-3034, "[-29734; 32767]"
-3033, "[-29735; 32767]"
-3032, "[-29736; 32767]"
-3031, "[-29737; 32767]"
-3030, "[-29738; 32767]"
-3029, "[-29739; 32767]"
-3028, "[-29740; 32767]"
-3027, "[-29741; 32767]"
-3026, "[-29742; 32767]"
-3025, "[-29743; 32767]"
-3024, "[-29744; 32767]"
-3023, "[-29745; 32767]"
-3022, "[-29746; 32767]"
-3021, "[-29747; 32767]"
-3020, "[-29748; 32767]"
-3019, "[-29749; 32767]"
-3018, "[-29750; 32767]"
-3017, "[-29751; 32767]"
-3016, "[-29752; 32767]"
-3015, "[-29753; 32767]"
-3014, "[-29754; 32767]"
-3013, "[-29755; 32767]"
-3012, "[-29756; 32767]"
-3011, "[-29757; 32767]"
-3010, "[-29758; 32767]"
-3009, "[-29759; 32767]"
-3008, "[-29760; 32767]"
-3007, "[-29761; 32767]"
-3006, "[-29762; 32767]"
-3005, "[-29763; 32767]"
-3004, "[-29764; 32767]"
-3003, "[-29765; 32767]"
-3002, "[-29766; 32767]"
-3001, "[-29767; 32767]"
-3000, "[-29768; 32767]"
-2999, "[-29769; 32767]"
-2998, "[-29770; 32767]"
-2997, "[-29771; 32767]"
-2996, "[-29772; 32767]"
-2995, "[-29773; 32767]"
-2994, "[-29774; 32767]"
-2993, "[-29775; 32767]"
-2992, "[-29776; 32767]"
-2991, "[-29777; 32767]"
-2990, "[-29778; 32767]"
-2989, "[-29779; 32767]"
-2988, "[-29780; 32767]"
-2987, "[-29781; 32767]"
-2986, "[-29782; 32767]"
-2985, "[-29783; 32767]"
-2984, "[-29784; 32767]"
-2983, "[-29785; 32767]"
-2982, "[-29786; 32767]"
-2981, "[-29787; 32767]"
-2980, "[-29788; 32767]"
-2979, "[-29789; 32767]"
-2978, "[-29790; 32767]"
-2977, "[-29791; 32767]"
-2976, "[-29792; 32767]"
-2975, "[-29793; 32767]"
-2974, "[-29794; 32767]"
-2973, "[-29795; 32767]"
-2972, "[-29796; 32767]"
-2971, "[-29797; 32767]"
-2970, "[-29798; 32767]"
-2969, "[-29799; 32767]"
-2968, "[-29800; 32767]"
-2967, "[-29801; 32767]"
-2966, "[-29802; 32767]"
-2965, "[-29803; 32767]"
-2964, "[-29804; 32767]"
-2963, "[-29805; 32767]"
-2962, "[-29806; 32767]"
-2961, "[-29807; 32767]"
-2960, "[-29808; 32767]"
-2959, "[-29809; 32767]"
-2958, "[-29810; 32767]"
-2957, "[-29811; 32767]"
-2956, "[-29812; 32767]"
-2955, "[-29813; 32767]"
-2954, "[-29814; 32767]"
-2953, "[-29815; 32767]"
-2952, "[-29816; 32767]"
-2951, "[-29817; 32767]"
-2950, "[-29818; 32767]"
-2949, "[-29819; 32767]"
-2948, "[-29820; 32767]"
-2947, "[-29821; 32767]"
-2946, "[-29822; 32767]"
-2945, "[-29823; 32767]"
-2944, "[-29824; 32767]"
-2943, "[-29825; 32767]"
-2942, "[-29826; 32767]"
-2941, "[-29827; 32767]"
-2940, "[-29828; 32767]"
-2939, "[-29829; 32767]"
-2938, "[-29830; 32767]"
-2937, "[-29831; 32767]"
-2936, "[-29832; 32767]"
-2935, "[-29833; 32767]"
-2934, "[-29834; 32767]"
-2933, "[-29835; 32767]"
-2932, "[-29836; 32767]"
-2931, "[-29837; 32767]"
-2930, "[-29838; 32767]"
-2929, "[-29839; 32767]"
-2928, "[-29840; 32767]"
-2927, "[-29841; 32767]"
-2926, "[-29842; 32767]"
-2925, "[-29843; 32767]"
-2924, "[-29844; 32767]"
-2923, "[-29845; 32767]"
-2922, "[-29846; 32767]"
-2921, "[-29847; 32767]"
-2920, "[-29848; 32767]"
-2919, "[-29849; 32767]"
-2918, "[-29850; 32767]"
-2917, "[-29851; 32767]"
-2916, "[-29852; 32767]"
-2915, "[-29853; 32767]"
-2914, "[-29854; 32767]"
-2913, "[-29855; 32767]"
-2912, "[-29856; 32767]"
-2911, "[-29857; 32767]"
-2910, "[-29858; 32767]"
-2909, "[-29859; 32767]"
-2908, "[-29860; 32767]"
-2907, "[-29861; 32767]"
-2906, "[-29862; 32767]"
-2905, "[-29863; 32767]"
-2904, "[-29864; 32767]"
-2903, "[-29865; 32767]"
-2902, "[-29866; 32767]"
-2901, "[-29867; 32767]"
-2900, "[-29868; 32767]"
-2899, "[-29869; 32767]"
-2898, "[-29870; 32767]"
-2897, "[-29871; 32767]"
-2896, "[-29872; 32767]"
-2895, "[-29873; 32767]"
-2894, "[-29874; 32767]"
-2893, "[-29875; 32767]"
-2892, "[-29876; 32767]"
-2891, "[-29877; 32767]"
-2890, "[-29878; 32767]"
-2889, "[-29879; 32767]"
-2888, "[-29880; 32767]"
-2887, "[-29881; 32767]"
-2886, "[-29882; 32767]"
-2885, "[-29883; 32767]"
-2884, "[-29884; 32767]"
-2883, "[-29885; 32767]"
-2882, "[-29886; 32767]"
-2881, "[-29887; 32767]"
-2880, "[-29888; 32767]"
-2879, "[-29889; 32767]"
-2878, "[-29890; 32767]"
-2877, "[-29891; 32767]"
-2876, "[-29892; 32767]"
-2875, "[-29893; 32767]"
-2874, "[-29894; 32767]"
-2873, "[-29895; 32767]"
-2872, "[-29896; 32767]"
-2871, "[-29897; 32767]"
-2870, "[-29898; 32767]"
-2869, "[-29899; 32767]"
-2868, "[-29900; 32767]"
-2867, "[-29901; 32767]"
-2866, "[-29902; 32767]"
-2865, "[-29903; 32767]"
-2864, "[-29904; 32767]"
-2863, "[-29905; 32767]"
-2862, "[-29906; 32767]"
-2861, "[-29907; 32767]"
-2860, "[-29908; 32767]"
-2859, "[-29909; 32767]"
-2858, "[-29910; 32767]"
-2857, "[-29911; 32767]"
-2856, "[-29912; 32767]"
-2855, "[-29913; 32767]"
-2854, "[-29914; 32767]"
-2853, "[-29915; 32767]"
-2852, "[-29916; 32767]"
-2851, "[-29917; 32767]"
-2850, "[-29918; 32767]"
-2849, "[-29919; 32767]"
-2848, "[-29920; 32767]"
-2847, "[-29921; 32767]"
-2846, "[-29922; 32767]"
-2845, "[-29923; 32767]"
-2844, "[-29924; 32767]"
-2843, "[-29925; 32767]"
-2842, "[-29926; 32767]"
-2841, "[-29927; 32767]"
-2840, "[-29928; 32767]"
-2839, "[-29929; 32767]"
-2838, "[-29930; 32767]"
-2837, "[-29931; 32767]"
-2836, "[-29932; 32767]"
-2835, "[-29933; 32767]"
-2834, "[-29934; 32767]"
-2833, "[-29935; 32767]"
-2832, "[-29936; 32767]"
-2831, "[-29937; 32767]"
-2830, "[-29938; 32767]"
-2829, "[-29939; 32767]"
-2828, "[-29940; 32767]"
-2827, "[-29941; 32767]"
-2826, "[-29942; 32767]"
-2825, "[-29943; 32767]"
-2824, "[-29944; 32767]"
-2823, "[-29945; 32767]"
-2822, "[-29946; 32767]"
-2821, "[-29947; 32767]"
-2820, "[-29948; 32767]"
-2819, "[-29949; 32767]"
-2818, "[-29950; 32767]"
-2817, "[-29951; 32767]"
-2816, "[-29952; 32767]"
-2815, "[-29953; 32767]"
-2814, "[-29954; 32767]"
-2813, "[-29955; 32767]"
-2812, "[-29956; 32767]"
-2811, "[-29957; 32767]"
-2810, "[-29958; 32767]"
-2809, "[-29959; 32767]"
-2808, "[-29960; 32767]"
-2807, "[-29961; 32767]"
-2806, "[-29962; 32767]"
-2805, "[-29963; 32767]"
-2804, "[-29964; 32767]"
-2803, "[-29965; 32767]"
-2802, "[-29966; 32767]"
-2801, "[-29967; 32767]"
-2800, "[-29968; 32767]"
-2799, "[-29969; 32767]"
-2798, "[-29970; 32767]"
-2797, "[-29971; 32767]"
-2796, "[-29972; 32767]"
-2795, "[-29973; 32767]"
-2794, "[-29974; 32767]"
-2793, "[-29975; 32767]"
-2792, "[-29976; 32767]"
-2791, "[-29977; 32767]"
-2790, "[-29978; 32767]"
-2789, "[-29979; 32767]"
-2788, "[-29980; 32767]"
-2787, "[-29981; 32767]"
-2786, "[-29982; 32767]"
-2785, "[-29983; 32767]"
-2784, "[-29984; 32767]"
-2783, "[-29985; 32767]"
-2782, "[-29986; 32767]"
-2781, "[-29987; 32767]"
-2780, "[-29988; 32767]"
-2779, "[-29989; 32767]"
-2778, "[-29990; 32767]"
-2777, "[-29991; 32767]"
-2776, "[-29992; 32767]"
-2775, "[-29993; 32767]"
-2774, "[-29994; 32767]"
-2773, "[-29995; 32767]"
-2772, "[-29996; 32767]"
-2771, "[-29997; 32767]"
-2770, "[-29998; 32767]"
-2769, "[-29999; 32767]"
-2768, "[-30000; 32767]"
-2767, "[-30001; 32767]"
-2766, "[-30002; 32767]"
-2765, "[-30003; 32767]"
-2764, "[-30004; 32767]"
-2763, "[-30005; 32767]"
-2762, "[-30006; 32767]"
-2761, "[-30007; 32767]"
-2760, "[-30008; 32767]"
-2759, "[-30009; 32767]"
-2758, "[-30010; 32767]"
-2757, "[-30011; 32767]"
-2756, "[-30012; 32767]"
-2755, "[-30013; 32767]"
-2754, "[-30014; 32767]"
-2753, "[-30015; 32767]"
-2752, "[-30016; 32767]"
-2751, "[-30017; 32767]"
-2750, "[-30018; 32767]"
-2749, "[-30019; 32767]"
-2748, "[-30020; 32767]"
-2747, "[-30021; 32767]"
-2746, "[-30022; 32767]"
-2745, "[-30023; 32767]"
-2744, "[-30024; 32767]"
-2743, "[-30025; 32767]"
-2742, "[-30026; 32767]"
-2741, "[-30027; 32767]"
-2740, "[-30028; 32767]"
-2739, "[-30029; 32767]"
-2738, "[-30030; 32767]"
-2737, "[-30031; 32767]"
-2736, "[-30032; 32767]"
-2735, "[-30033; 32767]"
-2734, "[-30034; 32767]"
-2733, "[-30035; 32767]"
-2732, "[-30036; 32767]"
-2731, "[-30037; 32767]"
-2730, "[-30038; 32767]"
-2729, "[-30039; 32767]"
-2728, "[-30040; 32767]"
-2727, "[-30041; 32767]"
-2726, "[-30042; 32767]"
-2725, "[-30043; 32767]"
-2724, "[-30044; 32767]"
-2723, "[-30045; 32767]"
-2722, "[-30046; 32767]"
-2721, "[-30047; 32767]"
-2720, "[-30048; 32767]"
-2719, "[-30049; 32767]"
-2718, "[-30050; 32767]"
-2717, "[-30051; 32767]"
-2716, "[-30052; 32767]"
-2715, "[-30053; 32767]"
-2714, "[-30054; 32767]"
-2713, "[-30055; 32767]"
-2712, "[-30056; 32767]"
-2711, "[-30057; 32767]"
-2710, "[-30058; 32767]"
-2709, "[-30059; 32767]"
-2708, "[-30060; 32767]"
-2707, "[-30061; 32767]"
-2706, "[-30062; 32767]"
-2705, "[-30063; 32767]"
-2704, "[-30064; 32767]"
-2703, "[-30065; 32767]"
-2702, "[-30066; 32767]"
-2701, "[-30067; 32767]"
-2700, "[-30068; 32767]"
-2699, "[-30069; 32767]"
-2698, "[-30070; 32767]"
-2697, "[-30071; 32767]"
-2696, "[-30072; 32767]"
-2695, "[-30073; 32767]"
-2694, "[-30074; 32767]"
-2693, "[-30075; 32767]"
-2692, "[-30076; 32767]"
-2691, "[-30077; 32767]"
-2690, "[-30078; 32767]"
-2689, "[-30079; 32767]"
-2688, "[-30080; 32767]"
-2687, "[-30081; 32767]"
-2686, "[-30082; 32767]"
-2685, "[-30083; 32767]"
-2684, "[-30084; 32767]"
-2683, "[-30085; 32767]"
-2682, "[-30086; 32767]"
-2681, "[-30087; 32767]"
-2680, "[-30088; 32767]"
-2679, "[-30089; 32767]"
-2678, "[-30090; 32767]"
-2677, "[-30091; 32767]"
-2676, "[-30092; 32767]"
-2675, "[-30093; 32767]"
-2674, "[-30094; 32767]"
-2673, "[-30095; 32767]"
-2672, "[-30096; 32767]"
-2671, "[-30097; 32767]"
-2670, "[-30098; 32767]"
-2669, "[-30099; 32767]"
-2668, "[-30100; 32767]"
-2667, "[-30101; 32767]"
-2666, "[-30102; 32767]"
-2665, "[-30103; 32767]"
-2664, "[-30104; 32767]"
-2663, "[-30105; 32767]"
-2662, "[-30106; 32767]"
-2661, "[-30107; 32767]"
-2660, "[-30108; 32767]"
-2659, "[-30109; 32767]"
-2658, "[-30110; 32767]"
-2657, "[-30111; 32767]"
-2656, "[-30112; 32767]"
-2655, "[-30113; 32767]"
-2654, "[-30114; 32767]"
-2653, "[-30115; 32767]"
-2652, "[-30116; 32767]"
-2651, "[-30117; 32767]"
-2650, "[-30118; 32767]"
-2649, "[-30119; 32767]"
-2648, "[-30120; 32767]"
-2647, "[-30121; 32767]"
-2646, "[-30122; 32767]"
-2645, "[-30123; 32767]"
-2644, "[-30124; 32767]"
-2643, "[-30125; 32767]"
-2642, "[-30126; 32767]"
-2641, "[-30127; 32767]"
-2640, "[-30128; 32767]"
-2639, "[-30129; 32767]"
-2638, "[-30130; 32767]"
-2637, "[-30131; 32767]"
-2636, "[-30132; 32767]"
-2635, "[-30133; 32767]"
-2634, "[-30134; 32767]"
-2633, "[-30135; 32767]"
-2632, "[-30136; 32767]"
-2631, "[-30137; 32767]"
-2630, "[-30138; 32767]"
-2629, "[-30139; 32767]"
-2628, "[-30140; 32767]"
-2627, "[-30141; 32767]"
-2626, "[-30142; 32767]"
-2625, "[-30143; 32767]"
-2624, "[-30144; 32767]"
-2623, "[-30145; 32767]"
-2622, "[-30146; 32767]"
-2621, "[-30147; 32767]"
-2620, "[-30148; 32767]"
-2619, "[-30149; 32767]"
-2618, "[-30150; 32767]"
-2617, "[-30151; 32767]"
-2616, "[-30152; 32767]"
-2615, "[-30153; 32767]"
-2614, "[-30154; 32767]"
-2613, "[-30155; 32767]"
-2612, "[-30156; 32767]"
-2611, "[-30157; 32767]"
-2610, "[-30158; 32767]"
-2609, "[-30159; 32767]"
-2608, "[-30160; 32767]"
-2607, "[-30161; 32767]"
-2606, "[-30162; 32767]"
-2605, "[-30163; 32767]"
-2604, "[-30164; 32767]"
-2603, "[-30165; 32767]"
-2602, "[-30166; 32767]"
-2601, "[-30167; 32767]"
-2600, "[-30168; 32767]"
-2599, "[-30169; 32767]"
-2598, "[-30170; 32767]"
-2597, "[-30171; 32767]"
-2596, "[-30172; 32767]"
-2595, "[-30173; 32767]"
-2594, "[-30174; 32767]"
-2593, "[-30175; 32767]"
-2592, "[-30176; 32767]"
-2591, "[-30177; 32767]"
-2590, "[-30178; 32767]"
-2589, "[-30179; 32767]"
-2588, "[-30180; 32767]"
-2587, "[-30181; 32767]"
-2586, "[-30182; 32767]"
-2585, "[-30183; 32767]"
-2584, "[-30184; 32767]"
-2583, "[-30185; 32767]"
-2582, "[-30186; 32767]"
-2581, "[-30187; 32767]"
-2580, "[-30188; 32767]"
-2579, "[-30189; 32767]"
-2578, "[-30190; 32767]"
-2577, "[-30191; 32767]"
-2576, "[-30192; 32767]"
-2575, "[-30193; 32767]"
-2574, "[-30194; 32767]"
-2573, "[-30195; 32767]"
-2572, "[-30196; 32767]"
-2571, "[-30197; 32767]"
-2570, "[-30198; 32767]"
-2569, "[-30199; 32767]"
-2568, "[-30200; 32767]"
-2567, "[-30201; 32767]"
-2566, "[-30202; 32767]"
-2565, "[-30203; 32767]"
-2564, "[-30204; 32767]"
-2563, "[-30205; 32767]"
-2562, "[-30206; 32767]"
-2561, "[-30207; 32767]"
-2560, "[-30208; 32767]"
-2559, "[-30209; 32767]"
-2558, "[-30210; 32767]"
-2557, "[-30211; 32767]"
-2556, "[-30212; 32767]"
-2555, "[-30213; 32767]"
-2554, "[-30214; 32767]"
-2553, "[-30215; 32767]"
-2552, "[-30216; 32767]"
-2551, "[-30217; 32767]"
-2550, "[-30218; 32767]"
-2549, "[-30219; 32767]"
-2548, "[-30220; 32767]"
-2547, "[-30221; 32767]"
-2546, "[-30222; 32767]"
-2545, "[-30223; 32767]"
-2544, "[-30224; 32767]"
-2543, "[-30225; 32767]"
-2542, "[-30226; 32767]"
-2541, "[-30227; 32767]"
-2540, "[-30228; 32767]"
-2539, "[-30229; 32767]"
-2538, "[-30230; 32767]"
-2537, "[-30231; 32767]"
-2536, "[-30232; 32767]"
-2535, "[-30233; 32767]"
-2534, "[-30234; 32767]"
-2533, "[-30235; 32767]"
-2532, "[-30236; 32767]"
-2531, "[-30237; 32767]"
-2530, "[-30238; 32767]"
-2529, "[-30239; 32767]"
-2528, "[-30240; 32767]"
-2527, "[-30241; 32767]"
-2526, "[-30242; 32767]"
-2525, "[-30243; 32767]"
-2524, "[-30244; 32767]"
-2523, "[-30245; 32767]"
-2522, "[-30246; 32767]"
-2521, "[-30247; 32767]"
-2520, "[-30248; 32767]"
-2519, "[-30249; 32767]"
-2518, "[-30250; 32767]"
-2517, "[-30251; 32767]"
-2516, "[-30252; 32767]"
-2515, "[-30253; 32767]"
-2514, "[-30254; 32767]"
-2513, "[-30255; 32767]"
-2512, "[-30256; 32767]"
-2511, "[-30257; 32767]"
-2510, "[-30258; 32767]"
-2509, "[-30259; 32767]"
-2508, "[-30260; 32767]"
-2507, "[-30261; 32767]"
-2506, "[-30262; 32767]"
-2505, "[-30263; 32767]"
-2504, "[-30264; 32767]"
-2503, "[-30265; 32767]"
-2502, "[-30266; 32767]"
-2501, "[-30267; 32767]"
-2500, "[-30268; 32767]"
-2499, "[-30269; 32767]"
-2498, "[-30270; 32767]"
-2497, "[-30271; 32767]"
-2496, "[-30272; 32767]"
-2495, "[-30273; 32767]"
-2494, "[-30274; 32767]"
-2493, "[-30275; 32767]"
-2492, "[-30276; 32767]"
-2491, "[-30277; 32767]"
-2490, "[-30278; 32767]"
-2489, "[-30279; 32767]"
-2488, "[-30280; 32767]"
-2487, "[-30281; 32767]"
-2486, "[-30282; 32767]"
-2485, "[-30283; 32767]"
-2484, "[-30284; 32767]"
-2483, "[-30285; 32767]"
-2482, "[-30286; 32767]"
-2481, "[-30287; 32767]"
-2480, "[-30288; 32767]"
-2479, "[-30289; 32767]"
-2478, "[-30290; 32767]"
-2477, "[-30291; 32767]"
-2476, "[-30292; 32767]"
-2475, "[-30293; 32767]"
-2474, "[-30294; 32767]"
-2473, "[-30295; 32767]"
-2472, "[-30296; 32767]"
-2471, "[-30297; 32767]"
-2470, "[-30298; 32767]"
-2469, "[-30299; 32767]"
-2468, "[-30300; 32767]"
-2467, "[-30301; 32767]"
-2466, "[-30302; 32767]"
-2465, "[-30303; 32767]"
-2464, "[-30304; 32767]"
-2463, "[-30305; 32767]"
-2462, "[-30306; 32767]"
-2461, "[-30307; 32767]"
-2460, "[-30308; 32767]"
-2459, "[-30309; 32767]"
-2458, "[-30310; 32767]"
-2457, "[-30311; 32767]"
-2456, "[-30312; 32767]"
-2455, "[-30313; 32767]"
-2454, "[-30314; 32767]"
-2453, "[-30315; 32767]"
-2452, "[-30316; 32767]"
-2451, "[-30317; 32767]"
-2450, "[-30318; 32767]"
-2449, "[-30319; 32767]"
-2448, "[-30320; 32767]"
-2447, "[-30321; 32767]"
-2446, "[-30322; 32767]"
-2445, "[-30323; 32767]"
-2444, "[-30324; 32767]"
-2443, "[-30325; 32767]"
-2442, "[-30326; 32767]"
-2441, "[-30327; 32767]"
-2440, "[-30328; 32767]"
-2439, "[-30329; 32767]"
-2438, "[-30330; 32767]"
-2437, "[-30331; 32767]"
-2436, "[-30332; 32767]"
-2435, "[-30333; 32767]"
-2434, "[-30334; 32767]"
-2433, "[-30335; 32767]"
-2432, "[-30336; 32767]"
-2431, "[-30337; 32767]"
-2430, "[-30338; 32767]"
-2429, "[-30339; 32767]"
-2428, "[-30340; 32767]"
-2427, "[-30341; 32767]"
-2426, "[-30342; 32767]"
-2425, "[-30343; 32767]"
-2424, "[-30344; 32767]"
-2423, "[-30345; 32767]"
-2422, "[-30346; 32767]"
-2421, "[-30347; 32767]"
-2420, "[-30348; 32767]"
-2419, "[-30349; 32767]"
-2418, "[-30350; 32767]"
-2417, "[-30351; 32767]"
-2416, "[-30352; 32767]"
-2415, "[-30353; 32767]"
-2414, "[-30354; 32767]"
-2413, "[-30355; 32767]"
-2412, "[-30356; 32767]"
-2411, "[-30357; 32767]"
-2410, "[-30358; 32767]"
-2409, "[-30359; 32767]"
-2408, "[-30360; 32767]"
-2407, "[-30361; 32767]"
-2406, "[-30362; 32767]"
-2405, "[-30363; 32767]"
-2404, "[-30364; 32767]"
-2403, "[-30365; 32767]"
-2402, "[-30366; 32767]"
-2401, "[-30367; 32767]"
-2400, "[-30368; 32767]"
-2399, "[-30369; 32767]"
-2398, "[-30370; 32767]"
-2397, "[-30371; 32767]"
-2396, "[-30372; 32767]"
-2395, "[-30373; 32767]"
-2394, "[-30374; 32767]"
-2393, "[-30375; 32767]"
-2392, "[-30376; 32767]"
-2391, "[-30377; 32767]"
-2390, "[-30378; 32767]"
-2389, "[-30379; 32767]"
-2388, "[-30380; 32767]"
-2387, "[-30381; 32767]"
-2386, "[-30382; 32767]"
-2385, "[-30383; 32767]"
-2384, "[-30384; 32767]"
-2383, "[-30385; 32767]"
-2382, "[-30386; 32767]"
-2381, "[-30387; 32767]"
-2380, "[-30388; 32767]"
-2379, "[-30389; 32767]"
-2378, "[-30390; 32767]"
-2377, "[-30391; 32767]"
-2376, "[-30392; 32767]"
-2375, "[-30393; 32767]"
-2374, "[-30394; 32767]"
-2373, "[-30395; 32767]"
-2372, "[-30396; 32767]"
-2371, "[-30397; 32767]"
-2370, "[-30398; 32767]"
-2369, "[-30399; 32767]"
-2368, "[-30400; 32767]"
-2367, "[-30401; 32767]"
-2366, "[-30402; 32767]"
-2365, "[-30403; 32767]"
-2364, "[-30404; 32767]"
-2363, "[-30405; 32767]"
-2362, "[-30406; 32767]"
-2361, "[-30407; 32767]"
